,logFC,AveExpr,t,P.Value,adj.P.Val,B,Mean_NT,Mean_Pcsk9,log2FC_Pcsk9_vs_NT
Pole,0.112900647,0.618257384,0.254680279,0.802818738,0.926949492,-5.992761383,0.509981917,0.551494592,0.112900647
Slc30a1,0.112886905,0.992778722,0.478234729,0.64015521,0.854277049,-5.910734467,0.892676097,0.965330994,0.112886905
Abcd1,0.112833631,3.868690789,0.635020876,0.536057962,0.798362903,-5.824487233,13.73459233,14.8519022,0.112833631
Enpp2,0.112784797,5.201199926,0.588025839,0.566248149,0.8158921,-5.852760981,36.54483333,39.51642,0.112784797
Mmp15,0.112491083,5.083827199,0.492453101,0.630331952,0.849629951,-5.903872406,34.05578667,36.817484,0.112491083
Yipf2,0.112436305,4.021583612,0.456398484,0.655378885,0.861463229,-5.920895045,15.57519667,16.837602,0.112436305
Usp28,0.112393351,1.953295858,0.586600429,0.56717791,0.815893242,-5.853586469,2.634873667,2.8483514,0.112393351
Cfap418,0.112345088,2.390705034,0.678277261,0.509086291,0.783710404,-5.79666404,3.84902,4.1607288,0.112345088
Gtf3a,0.112332111,2.42833392,0.691318365,0.501112512,0.779152494,-5.787941049,4.253473333,4.597895,0.112332111
Tnrc6a,0.112302274,3.516487953,0.955989144,0.355928951,0.686003405,-5.578606194,9.366881333,10.1251478,0.112302274
Vmo1,0.111991136,3.189536607,0.534053568,0.602011452,0.834055235,-5.882686913,7.905650667,8.543785,0.111991136
Jaml,0.111898873,0.599052121,0.339520981,0.739455148,0.898926138,-5.967411824,0.495903867,0.53589834,0.111898873
Rab10os,0.111864321,2.364775213,1.038042503,0.317534247,0.655033013,-5.501780415,3.716693,4.0163468,0.111864321
Eif2b3,0.111422516,2.140420188,0.676110815,0.510418078,0.784435876,-5.798098185,3.144344667,3.3968132,0.111422516
Ndufaf1,0.111346418,4.863049184,1.245184115,0.234300607,0.586954038,-5.284765829,27.72368667,29.948122,0.111346418
Elp4,0.111204352,2.432785196,0.940586795,0.363486932,0.690403368,-5.592420013,4.021449667,4.3436866,0.111204352
Nelfcd,0.111142482,4.829366425,1.126558839,0.279608194,0.628519093,-5.412972181,26.69886667,28.836998,0.111142482
Elac2,0.111038193,4.336117944,1.089289717,0.295139477,0.639702786,-5.451098184,18.24865,19.708636,0.111038193
Xrn2,0.110811217,4.563840802,0.979213969,0.344742539,0.6784278,-5.557410487,20.60324667,22.248112,0.110811217
Ror1,0.110745088,1.361366601,0.32482731,0.750303791,0.904052703,-5.972312658,1.543666133,1.6668287,0.110745088
Snx24,0.110642833,3.147242883,0.761150079,0.459691867,0.755189134,-5.738628772,7.086681333,7.6515552,0.110642833
Nudt9,0.110425994,4.627907745,0.890195763,0.388990763,0.709372358,-5.636242797,22.67321667,24.476802,0.110425994
Smim8,0.110386286,3.106532947,0.775662309,0.451358626,0.751577752,-5.727836352,6.898444333,7.4469896,0.110386286
Top3b,0.110316416,4.282897943,0.951543351,0.358099104,0.686837115,-5.582613433,17.47465333,18.863276,0.110316416
Mat2b,0.110308137,3.681498356,1.169604287,0.262449546,0.613552134,-5.367638312,10.95558733,11.8261048,0.110308137
Ahcy,0.110241753,10.23375059,1.299460248,0.215596537,0.568245149,-5.222761171,1140.365633,1230.92104,0.110241753
Asah2,0.110241261,3.561195968,1.072048837,0.302538736,0.645129105,-5.468376378,10.31420933,11.1332476,0.110241261
Zfp931,0.110165155,1.882323745,0.541295056,0.597147538,0.832372683,-5.878831146,2.4403147,2.63395804,0.110165155
Chd1l,0.110148971,2.977322272,0.985733873,0.341647546,0.675873252,-5.551381594,6.719554667,7.252682,0.110148971
Haus7,0.110012638,4.000290022,0.815119405,0.429187774,0.735108625,-5.697559581,14.48021333,15.627592,0.110012638
Endod1,0.110007902,1.291576312,0.45073616,0.659353091,0.863006174,-5.923454779,1.440534033,1.55467352,0.110007902
Slc2a1,0.109916764,3.155252204,0.552832046,0.589439843,0.82785639,-5.872585848,7.273285667,7.8490824,0.109916764
Prob1,0.109869966,2.890632202,0.627332431,0.540934779,0.801789739,-5.829252795,5.952550333,6.4235814,0.109869966
Tef,0.109770859,6.011485779,0.841331692,0.414855616,0.725264528,-5.676698989,58.85859,63.511764,0.109770859
Nae1,0.109736031,2.450075784,0.762349385,0.458999577,0.755189134,-5.737743918,4.064832667,4.3860796,0.109736031
Zfp560,0.109596378,1.01387226,0.44496974,0.663411405,0.86443298,-5.926029755,0.914985333,0.98720178,0.109596378
Ckap5,0.10954324,1.92203188,0.669896846,0.514249253,0.786594226,-5.802188016,2.574001,2.7770552,0.10954324
Ube2d1,0.109282834,2.263147112,0.936056249,0.365731246,0.691680819,-5.5964462,3.362790667,3.627415,0.109282834
Dgcr6,0.109142054,4.31155092,1.204074863,0.249302412,0.602803597,-5.330351842,19.01751,20.512032,0.109142054
Commd2,0.109063524,2.96312633,1.032458122,0.320047866,0.657227947,-5.507179335,6.24572,6.7361834,0.109063524
Mff,0.109038491,2.612126239,0.817802863,0.427705932,0.734245776,-5.695451252,4.689259,5.057409,0.109038491
BC024386,0.108868442,8.914678658,0.799454303,0.43790447,0.741972497,-5.709742544,439.1320333,473.55212,0.108868442
Brip1,0.108853825,0.726767913,0.337486141,0.740954132,0.899626652,-5.968103218,0.675842533,0.7288091,0.108853825
Luc7l2,0.108728569,4.890456438,1.148285428,0.270843912,0.621339206,-5.390262732,25.05863,27.020158,0.108728569
Brf1,0.108468467,2.67147246,1.066369652,0.305005947,0.646377598,-5.474017609,5.083156667,5.4800656,0.108468467
Hibch,0.108424641,4.29595807,1.375260956,0.19150269,0.542985553,-5.132821407,17.68002667,19.05996,0.108424641
Rhpn2,0.108354832,2.344488077,0.57941126,0.571879627,0.818473455,-5.857720945,3.412549333,3.6787222,0.108354832
Pdcl3,0.108319206,2.82621685,0.634845713,0.536168794,0.798434789,-5.824596411,5.780652333,6.2313792,0.108319206
Scarb1,0.10828979,5.523196771,1.084367495,0.297238049,0.641360377,-5.456054394,42.69744333,46.025694,0.10828979
Cdk18,0.108216487,4.812970569,0.714630474,0.487044024,0.772299413,-5.771964798,27.70349,29.86145,0.108216487
Lrrc14,0.108122277,2.600922238,0.852808028,0.408680964,0.721815535,-5.667379893,4.785607333,5.1580448,0.108122277
0610040J01Rik,0.108071384,4.765736577,1.063656357,0.306189925,0.647501606,-5.476703943,25.87345333,27.886058,0.108071384
Mapk9,0.108030065,4.001999798,1.133328081,0.276854775,0.626589316,-5.405934598,14.42544667,15.547106,0.108030065
Cisd3,0.107930412,6.233345578,0.930009159,0.368741806,0.693580275,-5.601793724,69.40476333,74.796206,0.107930412
Erg,0.107884667,1.787145631,0.472239116,0.644318802,0.855650006,-5.913569943,2.364892567,2.54851936,0.107884667
Ltb4r2,0.107879483,1.258480856,0.62275216,0.543851776,0.803255601,-5.832065869,1.3083936,1.40998136,0.107879483
Ubr3,0.107876952,4.792876369,1.20285498,0.249758773,0.603242175,-5.331686097,25.73764,27.735942,0.107876952
Adh5,0.107826952,7.114702185,1.735022054,0.105555684,0.436661794,-4.658174074,133.13749,143.469476,0.107826952
Hbb-bt,0.107820143,4.344839131,0.451956517,0.658495649,0.86300002,-5.922905715,20.93668933,22.5613512,0.107820143
Rad51d,0.107657386,2.852483713,0.641089279,0.53222623,0.795542807,-5.820687369,5.566079,5.9973234,0.107657386
Gm17907,0.107576227,0.487537304,0.10594169,0.917190831,0.967371023,-6.019843007,0.420669267,0.45323606,0.107576227
Cd99l2,0.107520805,3.748526168,1.013533228,0.328673951,0.665799517,-5.5252924,12.394744,13.3537902,0.107520805
Ghr,0.107515513,7.094387207,1.116775291,0.283624273,0.630045774,-5.423082626,129.52757,139.549284,0.107515513
Coq3,0.107487864,3.646961197,0.731651483,0.476923836,0.765704958,-5.759991407,10.645516,11.4689534,0.107487864
Psmg4,0.107371589,4.131682194,0.820547379,0.426193812,0.733448459,-5.693288503,15.56176667,16.764128,0.107371589
Nfib,0.107310009,3.60332235,0.843306337,0.413788832,0.72518016,-5.675103557,10.17144067,10.9568572,0.107310009
Dazap1,0.107289667,5.501585495,0.681069402,0.507372866,0.782662277,-5.794809405,43.07385667,46.399272,0.107289667
Igfbp4,0.107232225,9.852764789,1.3483841,0.199781442,0.552342019,-5.165148313,908.4307333,978.52502,0.107232225
Pcp4l1,0.107184766,2.610087506,0.252011448,0.804838347,0.927602907,-5.993442741,4.794224333,5.1639756,0.107184766
Mlx,0.107118289,5.272408664,0.90677731,0.380467231,0.703291252,-5.622056081,36.11493667,38.898484,0.107118289
Prkca,0.106984373,1.537896017,0.665907829,0.516717413,0.788137638,-5.804794913,1.966558267,2.11793352,0.106984373
Ccdc130,0.106911611,2.514350514,0.854665554,0.407687313,0.721133143,-5.665860944,4.548622,4.8985038,0.106911611
Cxcl11,0.106835008,1.351272079,0.344005966,0.736155145,0.896824951,-5.965873516,1.3801023,1.4861814,0.106835008
Galt,0.106758317,4.685251962,1.009383479,0.330587702,0.667345817,-5.529226117,23.47506667,25.278092,0.106758317
Lims2,0.106728546,5.686795686,0.552019195,0.589981219,0.827959787,-5.87302998,49.12519333,52.89721,0.106728546
Osgepl1,0.106673498,2.270235655,0.852384857,0.408907557,0.721815535,-5.667725519,3.682091667,3.9646652,0.106673498
Pacs2,0.10653169,2.8495145,0.692340507,0.500490668,0.77912441,-5.787250839,5.825048333,6.2714616,0.10653169
Pgap6,0.1064722,4.749921832,0.694207822,0.499355823,0.779062229,-5.785987479,25.63335667,27.596678,0.1064722
Tm2d3,0.106454038,4.69260544,1.070871931,0.303048801,0.645162451,-5.46954747,23.71158333,25.52739,0.106454038
Mrps2,0.106245652,4.875727166,1.287571126,0.219588039,0.572265174,-5.236517277,26.5615,28.59142,0.106245652
Eif2ak4,0.106102067,1.941611832,0.66968166,0.514382223,0.786594226,-5.802329014,2.627129667,2.8276224,0.106102067
Sf3b2,0.106043201,6.309098571,1.556148523,0.142859617,0.482364264,-4.903449204,75.90171,81.690912,0.106043201
Cby1,0.106016832,3.532795419,0.403826413,0.692681207,0.87881475,-5.943467048,10.15504833,10.929398,0.106016832
Mroh1,0.105939886,2.777966358,0.929145661,0.369173099,0.69380209,-5.602554861,5.931329667,6.383269,0.105939886
Mgst1,0.105847246,11.13688855,0.94897781,0.359355651,0.687467887,-5.584918534,2162.329333,2326.9392,0.105847246
Snrnp25,0.10582299,2.213224403,0.350397436,0.731461746,0.894663102,-5.963647068,3.677500667,3.9573882,0.10582299
Tbc1d17,0.105788397,3.090745754,0.798136098,0.43864312,0.742238597,-5.71075799,7.150193,7.694196,0.105788397
Cyp2c38,0.105705749,3.15586355,0.477321383,0.640788664,0.854277049,-5.91116864,7.959728,8.5648316,0.105705749
Rps7-ps3,0.105695085,2.260529848,0.193284074,0.849621892,0.94557204,-6.006633386,3.677281,3.956801,0.105695085
Sirt3,0.10563434,4.565305247,0.774173424,0.452209171,0.751640198,-5.728952144,22.20432,23.891124,0.10563434
Slc25a42,0.10559105,5.428040586,0.616146473,0.548073996,0.805900602,-5.836088734,37.68077667,40.54207,0.10559105
Nsun3,0.105565994,2.592413884,0.842613997,0.414162656,0.72518016,-5.67566332,4.358183,4.6890406,0.105565994
Tomm7,0.105433638,5.209980492,1.146865528,0.27141021,0.621711843,-5.391757628,34.46185333,37.074672,0.105433638
Zfp947,0.105417373,0.73323507,0.233178012,0.81913083,0.932523273,-5.998048794,0.615091067,0.6617184,0.105417373
Pik3r2,0.105412487,3.676874794,0.750875235,0.465649594,0.759156221,-5.746157437,11.462916,12.3318272,0.105412487
Cxxc5,0.105388916,5.444303876,0.766016899,0.456886578,0.753847291,-5.735030126,38.42033,41.33199,0.105388916
Fam210b,0.105249625,5.925756051,1.139882989,0.274208205,0.623876831,-5.399087118,57.03404333,61.350408,0.105249625
Sfxn5,0.105229312,2.877717543,0.789368579,0.443576237,0.746216029,-5.717473237,6.298908667,6.7755178,0.105229312
Gosr1,0.105195111,4.433144671,1.111610417,0.285761902,0.631761816,-5.428390914,19.61667,21.100472,0.105195111
Cln3,0.105092045,2.466724707,0.697313267,0.497471891,0.778430455,-5.783879461,4.517017,4.8583364,0.105092045
Palm,0.104978607,0.825559412,0.450587685,0.659457446,0.863006174,-5.923521483,0.6986106,0.75134064,0.104978607
Nupr1l,0.104928954,0.564317928,0.248343648,0.807616282,0.928920057,-5.994367541,0.4382979,0.47136372,0.104928954
Cntnap1,0.104925925,1.054824929,0.349803352,0.731897527,0.89483978,-5.963855711,1.0057128,1.08158294,0.104925925
Lix1l,0.104903548,2.183989848,0.822784441,0.424963854,0.732808047,-5.691520822,3.177194667,3.4168266,0.104903548
Dusp22,0.104749602,2.755840337,0.791409385,0.442424815,0.745576141,-5.715916134,5.335851667,5.7376826,0.104749602
Parp16,0.104718343,4.232252535,1.505203739,0.155366784,0.497938446,-4.970055182,16.80921,18.074682,0.104718343
Senp8,0.104684038,1.029985171,0.256056162,0.801778126,0.926502394,-5.992407342,0.951353767,1.02295158,0.104684038
Mtmr9,0.104672701,3.835787094,0.992753598,0.338337496,0.673112928,-5.544852203,12.88734967,13.8571282,0.104672701
Usp4,0.104589781,4.47676086,1.111618271,0.285758642,0.631761816,-5.428382858,20.39267667,21.925974,0.104589781
Dab2ip,0.104585373,2.200148427,0.537408841,0.599755329,0.833444164,-5.88090655,3.331932333,3.5824448,0.104585373
Zmym1,0.104576184,0.983687997,0.454376035,0.656797138,0.862172914,-5.921812874,0.950603967,1.02206894,0.104576184
Cwf19l1,0.104501789,3.285899065,0.953141833,0.357317761,0.686551232,-5.581174496,7.931982667,8.5278574,0.104501789
Rnf181,0.104432463,5.277649817,0.999992761,0.334948074,0.671401465,-5.538077221,37.68331333,40.512252,0.104432463
Rad50,0.104315635,2.201736798,0.552900206,0.589394458,0.82785639,-5.872548578,3.243772667,3.4870048,0.104315635
Plk5,0.104279812,1.83935246,0.352427859,0.729973092,0.894299376,-5.962931362,2.669877667,2.8700054,0.104279812
Brca2,0.104122444,0.889526404,0.306585978,0.763848484,0.908832247,-5.978099934,0.712441033,0.7657604,0.104122444
Ciart,0.10411926,4.812720745,0.449916056,0.65992959,0.863177352,-5.923822953,27.65858133,29.7284948,0.10411926
Tm7sf3,0.103766176,5.500725048,1.009429322,0.330566517,0.667345817,-5.529182736,41.68012667,44.788422,0.103766176
Clybl,0.103748816,5.352872432,1.018321032,0.326475906,0.663664465,-5.520736816,38.35957667,41.219746,0.103748816
Aatf,0.103728512,3.274918586,0.961804744,0.353104124,0.683881862,-5.573339891,7.891935333,8.480255,0.103728512
Sft2d2,0.103625126,4.576626481,1.003791494,0.333179265,0.669506184,-5.534505263,21.84845667,23.47551,0.103625126
Zcchc4,0.10347995,1.039225103,0.503334347,0.622863033,0.845514913,-5.898490238,0.876472467,0.94164856,0.10347995
Aprt,0.103472622,5.009658805,0.774002986,0.4523066,0.751674642,-5.729079748,30.18695,32.431542,0.103472622
Nol6,0.1034037,4.084649298,0.832583193,0.419603681,0.728866501,-5.683727153,15.66074,16.824412,0.1034037
Nr6a1,0.103390192,1.30569951,0.539989349,0.598023073,0.83287624,-5.879530042,1.244855367,1.33734188,0.103390192
Prkag2,0.103207473,3.655826916,0.642617226,0.531263889,0.795120177,-5.819725273,11.66988533,12.5353116,0.103207473
Gm4841,0.102996558,0.822021811,0.25319769,0.803940491,0.927405636,-5.993140768,0.764365883,0.820930418,0.102996558
Abhd3,0.102891097,5.905801838,1.197835771,0.251643311,0.605709532,-5.337164582,57.37994333,61.621664,0.102891097
Nt5c3b,0.102785618,1.399582024,0.285995138,0.779234911,0.915624338,-5.984236532,1.507504667,1.61882618,0.102785618
Aplp2,0.102705521,7.007855881,1.12037411,0.282141948,0.629649305,-5.419371954,124.1986267,133.362656,0.102705521
Aifm3,0.102691848,2.650888158,0.462536357,0.651083166,0.859821854,-5.918085411,5.086053333,5.4612774,0.102691848
Cpne2,0.102679304,3.495668967,0.735151233,0.474858988,0.764915236,-5.757497396,9.693124333,10.408145,0.102679304
Txnl4a|Gm16286,0.102640296,5.482239344,1.136066969,0.275746587,0.625225626,-5.403077372,41.64224333,44.712806,0.102640296
Gchfr,0.102597255,7.59998464,1.466663428,0.165433292,0.510335913,-5.019420521,185.1690333,198.81686,0.102597255
Mia2,0.1025598,5.908983073,1.216564893,0.244667176,0.599248636,-5.316629206,56.82518333,61.011882,0.1025598
Gulo,0.102473186,9.05112379,0.891156284,0.388493509,0.709089554,-5.635427295,532.2767333,571.45888,0.102473186
Gatc,0.102448766,4.92357449,0.837912225,0.416707234,0.726540523,-5.679453868,28.43711,30.529916,0.102448766
Inhca,0.102173693,8.191888283,1.411838232,0.180689921,0.528507169,-5.08807443,278.7726333,299.23162,0.102173693
Tsen2,0.102165436,1.6686384,0.507554405,0.619977911,0.844002009,-5.896372458,2.125806,2.2818048,0.102165436
Mindy2,0.102027131,2.065540831,0.637444928,0.534525503,0.797010687,-5.822973425,2.823882,3.0308174,0.102027131
Ces2g,0.101966626,5.149186552,0.626779381,0.541286532,0.802124794,-5.829593491,32.15893,34.514104,0.101966626
Avpr1a,0.101844934,4.202920327,0.457390251,0.654683909,0.861333433,-5.92044352,15.44799967,16.5779426,0.101844934
Nceh1,0.101553726,3.52982026,0.434985985,0.670463851,0.867443195,-5.930411942,9.976704667,10.7042892,0.101553726
Gm13199,0.101519788,1.045171769,0.062936106,0.950742164,0.98102939,-6.023518643,1.030674733,1.10581412,0.101519788
Pde1a,0.101437368,0.846135213,0.363389084,0.72195632,0.890049278,-5.958997627,0.743467333,0.79762284,0.101437368
Ccdc66,0.101405546,1.377914209,0.390152819,0.702526129,0.882357883,-5.948897541,1.279439133,1.37260552,0.101405546
Idua,0.101368668,2.164259938,0.621946161,0.544365987,0.803608875,-5.832558886,3.403709333,3.6514678,0.101368668
Siae,0.101295465,3.16874487,0.804503259,0.435082694,0.739004122,-5.705839202,8.027188667,8.6110566,0.101295465
N4bp3,0.101196557,2.153892161,0.400863429,0.694809713,0.879849037,-5.944659285,3.014360667,3.2333924,0.101196557
Car8,0.101106412,4.924730994,0.46061266,0.652428126,0.860062933,-5.918969896,29.16246,31.27953,0.101106412
Nol7,0.100985702,4.902903027,0.956341839,0.355757185,0.686003405,-5.578287599,27.74919333,29.761176,0.100985702
Chpf2,0.100967463,2.985258756,0.5654177,0.581090269,0.823252735,-5.865629812,6.319737667,6.7778708,0.100967463
Acss2,0.100940142,5.189250499,0.827179986,0.422553881,0.731601224,-5.688034963,34.63736667,37.14761,0.100940142
Tle3,0.100940045,3.014402492,0.670782581,0.513702143,0.786594226,-5.801607203,7.044937,7.555498,0.100940045
Glyat,0.100884642,6.346456078,1.014130245,0.328399283,0.665799517,-5.524725335,77.63573667,83.25896,0.100884642
Surf1,0.100874513,5.297595157,1.396423954,0.185183571,0.533481803,-5.107036237,37.42637333,40.136916,0.100874513
Sirt7,0.100841582,4.526567808,0.830333607,0.420830333,0.730102869,-5.685523734,20.72519,22.22567,0.100841582
Arl4d,0.100719528,4.567215849,0.570893756,0.577476687,0.821896841,-5.862556731,17.56285667,18.832794,0.100719528
Ica1,0.100583583,0.932116849,0.031226285,0.975547242,0.990473029,-6.025030396,0.938752567,1.00653716,0.100583583
Ewsr1,0.100378867,5.522531661,1.050180506,0.312120558,0.65139535,-5.489961008,41.92386,44.944682,0.100378867
Arl2bp,0.100309137,2.478494162,0.398027223,0.696849662,0.880115284,-5.945792489,4.126646667,4.4237782,0.100309137
Ipp,0.100220726,3.649062892,0.894082796,0.386981136,0.708930193,-5.632937846,11.20883367,12.0151686,0.100220726
Igkv4-68,0.100198842,0.553776078,0.008496065,0.993345804,0.997096048,-6.025487605,0.773516567,0.8291488,0.100198842
Mir199a-1,0.100193715,0.555721868,-0.129764911,0.898671103,0.962797231,-6.017002553,0.593802667,0.6365074,0.100193715
Cox14,0.100161193,6.086661935,0.874470736,0.397192826,0.714532644,-5.649483124,64.22228333,68.83943,0.100161193
Mrps30,0.10014565,1.940574151,0.780049431,0.448858298,0.74972578,-5.724537247,2.561059,2.7451522,0.10014565
1110032A03Rik,0.100119216,3.273565747,1.02739364,0.32233998,0.659470703,-5.512054354,8.596076667,9.2138082,0.100119216
Drg2,0.100080436,4.622303069,1.150017558,0.270154309,0.620873275,-5.388437086,22.63550667,24.261488,0.100080436
Zfp710,0.099792434,2.853623151,0.570887954,0.57748051,0.821896841,-5.862560002,5.669432,6.0754726,0.099792434
Rraga,0.099765989,5.551843471,0.935249145,0.366132074,0.69172995,-5.597161677,42.14657667,45.164256,0.099765989
Apoc1,0.099694029,11.60030814,0.923825765,0.371837947,0.695805848,-5.607230519,2908.035,3116.0938,0.099694029
Nfix,0.099680096,5.5717529,0.610280622,0.551838414,0.808746192,-5.839627157,46.70957,50.050978,0.099680096
Zfp553,0.099656199,2.366296128,0.716468256,0.485945137,0.771827236,-5.770684521,4.144016667,4.4403888,0.099656199
Armcx2,0.099648233,0.773520436,0.290424997,0.775916307,0.913744017,-5.982951842,0.6569503,0.70393024,0.099648233
Amer1,0.099540447,1.362498829,0.45026651,0.659683208,0.863031994,-5.923665701,1.425440433,1.52726266,0.099540447
Tmem50a,0.099535383,7.049950022,1.289304298,0.219002511,0.571693859,-5.234517966,125.7751667,134.75908,0.099535383
Col5a2,0.099486642,0.692484934,0.184192988,0.856607413,0.947119387,-6.008366337,0.571695467,0.61251004,0.099486642
Rnpepl1,0.099374376,4.179652014,0.92586595,0.370814408,0.694603474,-5.605440171,17.61885667,18.875236,0.099374376
Mov10,0.099308941,3.794128686,0.610640156,0.551607276,0.808500294,-5.839411195,13.041914,13.9712834,0.099308941
Ube3c,0.099299448,3.45446622,1.000952414,0.334500594,0.670935514,-5.537175948,9.613574333,10.2985718,0.099299448
Ccdc73,0.099203174,0.689237316,0.332833586,0.744385591,0.901057471,-5.969668713,0.594745933,0.63708094,0.099203174
Fer,0.099158194,2.257140331,0.831582192,0.420149217,0.729501915,-5.684527118,4.065271,4.354508,0.099158194
Suclg1,0.099154735,5.934552319,0.995172111,0.337202412,0.6729134,-5.542593445,57.56458333,61.660056,0.099154735
Atad3a,0.099095867,5.304805785,0.775189622,0.451628545,0.751577752,-5.728190801,37.44439667,40.106768,0.099095867
Gnmt,0.099023504,11.59484414,0.820565024,0.426184102,0.733448459,-5.693274577,2888.743,3093.9832,0.099023504
Pmm2,0.099008856,4.341392192,0.953486814,0.35714929,0.686551232,-5.580863673,18.06796667,19.351468,0.099008856
Itpk1,0.098916,3.501827616,0.82412859,0.424225941,0.732808047,-5.690456624,9.715663667,10.4051694,0.098916
Gsto1,0.098906235,6.085817767,1.021131897,0.325190427,0.662394574,-5.518053801,64.47252333,69.047572,0.098906235
Xrcc6,0.098871043,3.052494544,0.874376123,0.397242525,0.714532644,-5.649562156,6.885943,7.374398,0.098871043
Card6,0.098728132,2.822130835,0.650806289,0.526123009,0.792270079,-5.814532353,5.627542333,6.0261356,0.098728132
Cops8,0.098715929,3.761162103,0.920621698,0.373449333,0.697389579,-5.610035259,12.04652,12.899654,0.098715929
Adh6-ps1,0.098679724,4.924845689,0.440585976,0.66650402,0.865433114,-5.927965806,29.31669667,31.392116,0.098679724
Focad,0.098621196,1.437284841,0.494907422,0.628643576,0.8486997,-5.902668313,1.741256933,1.86445024,0.098621196
Slc25a5,0.098502839,8.708931866,1.419376879,0.178525268,0.52589241,-5.078745809,402.7407333,431.19912,0.098502839
Atpsckmt,0.098486549,2.907841209,0.914362678,0.376610988,0.700480721,-5.615489611,6.039948,6.4666686,0.098486549
Fam169b,0.098323887,2.934180083,0.518225651,0.612711429,0.840346401,-5.890941535,6.182464333,6.6185074,0.098323887
Vegfa,0.098322735,6.815955631,0.915752345,0.375907433,0.699851494,-5.614281415,109.06442,116.756532,0.098322735
Letm1,0.098301594,4.206072242,1.030804988,0.320794743,0.658196544,-5.508772851,17.15130333,18.360684,0.098301594
Sephs2,0.098292043,9.087720518,1.004836468,0.332693872,0.669057548,-5.533520647,481.4249333,515.36798,0.098292043
Fancc,0.098208198,0.931947063,0.370377309,0.716862944,0.888191051,-5.956428122,0.868813133,0.93001508,0.098208198
Setd6,0.098179049,4.275060238,0.860118956,0.40477939,0.718878756,-5.661384549,18.25913,19.544966,0.098179049
Tmem30b,0.098159593,5.295950723,0.823789539,0.424411994,0.732808047,-5.690725206,35.05480667,37.522914,0.098159593
Rmc1,0.098149673,3.150820974,0.908338041,0.379671586,0.703021841,-5.620708915,7.229018,7.737939,0.098149673
Nck2,0.098149121,0.963004645,0.233430287,0.818938925,0.932523273,-5.997989437,0.970254567,1.03855984,0.098149121
Casp2,0.097980088,1.282987344,0.395072994,0.6989771,0.881457089,-5.946964503,1.206929767,1.29174546,0.097980088
Wfdc21,0.097971661,10.09811904,0.462154386,0.651350122,0.859821854,-5.918261318,1061.669867,1136.27094,0.097971661
Nacc2,0.097923864,2.943525359,0.772796388,0.452996718,0.751693882,-5.729982379,6.645987,7.1127494,0.097923864
Ash2l,0.097921009,2.451357435,0.858328603,0.405732534,0.719836885,-5.662856945,4.118314,4.4075436,0.097921009
Kri1,0.097894868,2.08703958,0.569102741,0.578657258,0.822180352,-5.86356492,3.044698,3.2584684,0.097894868
Slc30a3,0.097823384,0.931545259,0.174633265,0.863966551,0.950758051,-6.010099048,0.8710439,0.93215432,0.097823384
Mlh1,0.097799125,2.868766978,0.568177545,0.579267607,0.822660175,-5.864084547,5.962272667,6.3804646,0.097799125
Slco1b2,0.097707334,8.563067693,0.768140687,0.455665769,0.75283389,-5.733453193,364.3516,389.8823,0.097707334
Bloc1s5,0.097629739,2.777506547,0.889397996,0.389404089,0.709372358,-5.636919528,5.852161667,6.2618952,0.097629739
Slc35b3,0.097617673,2.664524926,0.418967529,0.681846865,0.873142414,-5.937241131,4.812942667,5.1498732,0.097617673
Mrpl12,0.097114996,6.348338089,1.145531821,0.271942954,0.622071336,-5.393160411,78.57849333,84.050098,0.097114996
Epha1,0.097087271,4.891393675,0.977117746,0.345741837,0.679393444,-5.559341546,26.62768333,28.481284,0.097087271
Ndufb9,0.097070122,5.94161707,0.898556585,0.384676904,0.706874967,-5.629118306,57.90880667,61.939206,0.097070122
Tiam2,0.097067677,2.22137086,0.483337814,0.63662134,0.853091387,-5.908293909,3.193663,3.4159332,0.097067677
Map3k15,0.097026804,0.88000065,0.346232597,0.734518822,0.89603871,-5.965102441,0.8759023,0.93683616,0.097026804
Vps72,0.097016423,3.573148499,0.68488691,0.505035686,0.781528486,-5.79226223,10.24690167,10.9596686,0.097016423
Polr2h,0.096917207,3.834976093,0.594583603,0.561981205,0.814241018,-5.848938798,12.97894667,13.880798,0.096917207
Thyn1,0.096909696,3.361466065,0.950039792,0.358835141,0.687293565,-5.583965013,8.525743333,9.1181132,0.096909696
Myh10,0.096741532,2.381003718,0.421489447,0.680049289,0.872890645,-5.936182474,3.921427667,4.1934002,0.096741532
Creb3l3,0.096715301,7.771726511,0.80910233,0.432522555,0.737258294,-5.702264363,203.8651,218.0003,0.096715301
Polr2l,0.096679955,5.24013689,0.841979279,0.414505563,0.725236827,-5.676176134,37.28336,39.867464,0.096679955
Septin4,0.096643475,2.758329771,0.469101491,0.646502674,0.856656515,-5.915040037,5.254130667,5.6181516,0.096643475
Gpr107,0.096620801,2.268715274,0.72502412,0.480848951,0.769093159,-5.764684254,3.498507,3.7408346,0.096620801
Bcl2l2,0.09655784,3.36566412,0.925137351,0.371179714,0.694879788,-5.606079943,9.143927,9.7768636,0.09655784
Plin3,0.096500905,5.313688437,0.712349225,0.488410157,0.772565431,-5.773549793,38.00982667,40.639238,0.096500905
Ddb2,0.096490875,2.004555667,0.491459035,0.631016403,0.84998658,-5.904358457,2.835540667,3.0316742,0.096490875
Nr1i2,0.096397649,5.857122403,0.604259969,0.555716853,0.810428348,-5.843225757,55.98806,59.85687,0.096397649
